epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7552,1.08396,2.97306,1.95409,0.03561,0.6063,0.88001,0.77528,0.63085,0.63388,1.62707,1.53453,0.01635,0.00062,0.00062,0.00062
2,104.324,0.73967,1.15469,1.55312,0.0278,0.75186,0.8657,0.89806,0.76957,0.57096,0.95859,1.26613,0.01683,0.00124753,0.00124753,0.00124753
3,139.594,0.7099,0.92719,1.45207,0.03341,0.79408,0.79575,0.906,0.76126,0.715,0.86881,1.42299,0.11397,0.00186238,0.00186238,0.00186238
4,173.794,0.6959,0.84886,1.32669,0.04537,0.79602,0.83623,0.91297,0.79082,0.73932,0.8805,1.34507,0.03615,0.0019406,0.0019406,0.0019406
5,206.815,0.71236,0.77905,1.23617,0.0366,0.84423,0.71429,0.89617,0.78509,0.63017,0.90886,1.29609,0.05209,0.0019208,0.0019208,0.0019208
6,240.208,0.68156,0.76661,1.21723,0.03494,0.84088,0.79691,0.89897,0.79142,0.59072,1.03149,1.28869,0.02145,0.001901,0.001901,0.001901
7,273.392,0.60736,0.68283,1.12661,0.03259,0.84489,0.86508,0.9224,0.82081,0.59157,0.95375,1.15179,0.04688,0.0018812,0.0018812,0.0018812
8,306.177,0.61671,0.68034,1.06978,0.04363,0.87775,0.80159,0.9323,0.84483,0.48758,0.68271,0.9167,0.02866,0.0018614,0.0018614,0.0018614
9,341.53,0.59351,0.66346,1.00488,0.04257,0.85131,0.87302,0.92661,0.82306,0.52322,0.73073,0.90596,0.03526,0.0018416,0.0018416,0.0018416
10,377.443,0.58128,0.62796,1.02349,0.04399,0.89277,0.88889,0.95076,0.84466,0.49152,0.65873,0.9239,0.027,0.0018218,0.0018218,0.0018218
11,411.131,0.5757,0.61544,1.01183,0.04001,0.90585,0.86508,0.94321,0.8428,0.49621,0.66789,0.89247,0.01906,0.001802,0.001802,0.001802
12,443.968,0.53943,0.60825,0.9804,0.02967,0.89742,0.83315,0.91374,0.84644,0.40834,0.78133,0.86994,0.01818,0.0017822,0.0017822,0.0017822
13,476.947,0.52366,0.55655,0.99014,0.02503,0.89749,0.84127,0.95507,0.87042,0.47277,0.85114,0.87697,0.02095,0.0017624,0.0017624,0.0017624
14,509.49,0.53286,0.626,1.01523,0.02905,0.96563,0.76984,0.94512,0.86876,0.4661,0.60192,0.89216,0.02472,0.0017426,0.0017426,0.0017426
15,543.165,0.5324,0.58695,0.97946,0.03107,0.91944,0.89683,0.97278,0.89253,0.46021,0.56147,0.90367,0.01964,0.0017228,0.0017228,0.0017228
